ID;Leeftijdsgroep;Vraag;Antwoord;Thema
1;4-6 jaar;"Wie is de beroemde zeemeermin in de Disney-film ""De Kleine Zeemeermin""?";Ariel;Disney
2;4-6 jaar;"Hoe heet de pratende sneeuwpop in Disney's ""Frozen""?";Olaf;Disney
3;4-6 jaar;"Welk dier is bekend als de ""koning van de jungle""?";Leeuw;Dieren
4;4-6 jaar;Welk fruit is geel van buiten en wit van binnen?;Banaan;Eten
5;4-6 jaar;Hoeveel poten heeft een spin?;8;Dieren
6;7-9 jaar;"Hoe heet het speelgoedcowboy-personage in de ""Toy Story"" films?";Woody;Films
7;7-9 jaar;"Welke kleur heeft het lichtzwaard van Luke Skywalker in ""Star Wars""?";Blauw;Films
8;7-9 jaar;Welk dier is bekend om zijn gestreepte vacht en komt oorspronkelijk uit Afrika?;Zebra;Dieren
9;7-9 jaar;Hoe noem je in het Engels de koekjes die gemaakt worden van havermout en rozijnen?;Oatmeal Raisin Cookies;Eten
10;7-9 jaar;"In welke stad speelt de Disney-film ""Ratatouille"" zich af?";Parijs;Disney
11;10-12 jaar;"Wie is de maker van de populaire game ""Minecraft""?";Markus Persson (Notch);Games
12;10-12 jaar;"Wat is de naam van de pratende vis in de Disney-film ""Finding Nemo""?";Dory;Disney
13;10-12 jaar;Welke beroemde acteur speelt de rol van Harry Potter in de Harry Potter-films?;Daniel Radcliffe;Films
14;10-12 jaar;Hoe noem je het geluid dat een leeuw maakt?;Brullen;Dieren
15;10-12 jaar;Wat is de belangrijkste vrucht in de Mexicaanse keuken?;Avocado;Eten
